"SAMPLE_ID","STATUS","STATUS_DATE","REMARK"
64850,"SUSPICIOUS","10/08/2019",
64851,"CONFIRMED","07/03/2019",
64852,"NO_BLOOM",,
64852,"CONFIRMED","07/16/2019",
64853,"NO_BLOOM",,
64853,"CONFIRMED","07/16/2019",
64854,"NO_BLOOM","08/15/2019",
64855,"NO_BLOOM","06/03/2019",
64856,"NO_BLOOM","06/03/2019",
64857,"SUSPICIOUS","09/20/2019",
64858,"NO_BLOOM","06/03/2019",
64859,"SUSPICIOUS","10/08/2019",
64860,"NO_BLOOM","06/03/2019",
64861,"NO_BLOOM","07/10/2019",
64862,"CONFIRMED","08/28/2019",
64863,"SUSPICIOUS","09/18/2019",
64864,"SUSPICIOUS","10/01/2019",
64865,"SUSPICIOUS","07/29/2019",
64866,"CONFIRMED","07/01/2019",
64866,"NO_BLOOM","11/12/2019",
64867,"CONFIRMED","07/01/2019",
64867,"NO_BLOOM","11/12/2019",
64868,"CONFIRMED_WITH_HIGH_TOXINS","09/05/2019",
64869,"NO_BLOOM","05/31/2019",
64870,"SUSPICIOUS","09/20/2019",
64871,"SUSPICIOUS","09/30/2019",
64872,"SUSPICIOUS","07/05/2019",
64873,"SUSPICIOUS","07/16/2019",
64874,"SUSPICIOUS","07/25/2019",
64875,"SUSPICIOUS","08/06/2019",
64876,"NO_BLOOM","11/12/2019",
64877,"NO_BLOOM","11/12/2019",
64880,"NO_BLOOM","07/11/2019",
64886,"NO_BLOOM","08/01/2019",
64888,"NO_BLOOM","08/16/2019",
64892,"NO_BLOOM","08/30/2019",
64892,"NO_BLOOM","08/28/2019",
64893,"NO_BLOOM","09/12/2019",
64894,"NO_BLOOM","09/26/2019",
64878,"SUSPICIOUS","07/02/2019",
64879,"SUSPICIOUS","07/08/2019",
64881,"SUSPICIOUS","07/09/2019",
64882,"SUSPICIOUS","07/16/2019",
64883,"SUSPICIOUS","07/24/2019",
64884,"SUSPICIOUS","07/25/2019",
64884,"SUSPICIOUS","07/26/2019",
64885,"SUSPICIOUS","07/29/2019",
64887,"SUSPICIOUS","08/02/2019",
64889,"SUSPICIOUS","08/19/2019",
64890,"SUSPICIOUS","08/21/2019",
64891,"SUSPICIOUS","08/21/2019",
64890,"SUSPICIOUS","08/20/2019",
64891,"SUSPICIOUS","08/20/2019",
64895,"NO_BLOOM","05/31/2019",
64896,"SUSPICIOUS","07/24/2019",
64897,"SUSPICIOUS","09/03/2019",
64898,"SUSPICIOUS","10/08/2019",
64899,"SUSPICIOUS","09/10/2019",
64900,"SUSPICIOUS","09/10/2019",
64899,"NO_BLOOM","09/12/2019",
64900,"NO_BLOOM","09/12/2019",
64901,"SUSPICIOUS","09/17/2019",
64902,,,
64903,"NO_BLOOM","11/12/2019",
64904,"NO_BLOOM","07/08/2019",
64906,"NO_BLOOM","11/12/2019",
64907,"NO_BLOOM","08/01/2019",
64908,"NO_BLOOM","08/15/2019",
64909,"NO_BLOOM","08/28/2019",
64910,"NO_BLOOM","09/11/2019",
64911,"NO_BLOOM","09/26/2019",
64905,"CONFIRMED","07/15/2019",
64912,"SUSPICIOUS","10/21/2019",
64913,,,
64916,"NO_BLOOM","11/12/2019",
64917,"NO_BLOOM","07/11/2019",
64919,"NO_BLOOM","07/11/2019",
64921,"CONFIRMED","07/25/2019",
64924,"NO_BLOOM","08/16/2019",
64925,"NO_BLOOM","09/06/2019",
64926,"NO_BLOOM","09/18/2019",
64927,"NO_BLOOM","10/02/2019",
64922,"NO_BLOOM",,
64923,"CONFIRMED","08/08/2019",
64914,"SUSPICIOUS","05/28/2019",
64915,"SUSPICIOUS","06/06/2019",
64918,"SUSPICIOUS","06/21/2019",
64920,"SUSPICIOUS","07/19/2019",
64928,,,
64929,,,
64930,"NO_BLOOM","11/12/2019",
64931,"NO_BLOOM","11/12/2019",
64933,"NO_BLOOM","07/17/2019",
64934,"NO_BLOOM","08/01/2019",
64935,"NO_BLOOM","08/16/2019",
64936,"NO_BLOOM","08/30/2019",
64937,"NO_BLOOM","09/11/2019",
64938,"NO_BLOOM","09/25/2019",
64932,"CONFIRMED","06/28/2019",
64940,"CONFIRMED_WITH_HIGH_TOXINS","09/25/2019",
64939,"SUSPICIOUS","09/23/2019",
64941,"NO_BLOOM","11/12/2019",
64942,"NO_BLOOM","07/10/2019",
64943,"NO_BLOOM","11/12/2019",
64944,"NO_BLOOM","08/07/2019",
64945,"NO_BLOOM","08/28/2019",
64946,"NO_BLOOM","09/11/2019",
64947,"NO_BLOOM","09/25/2019",
64948,"SUSPICIOUS","09/03/2019",
64949,,,
