LakeID,FIN,County,WATER,Alternate_Name,Lake_Proj_Code_Ref::LAKE_PROJ_CODE,Beaches,PWS,Waterbody_Classification,WaterClassPartNo,Dam Class,M_BAS_NAME,BASIN_NAME,M_BASIN_ID,BasinSub,ACRES,SHORELINE_,AREA,LEN,P#,PWLID,_8_Digit_HUC,DATE_ADDED,Waterbody_Type,Chla_PWS
0905LOT0290,SL-25-101-24-10-P290,St Lawrence,Little Otter Pond,,,No,No, ,910-1561,,St. Lawrence River Basin,Oswegatchie River,9,905,9.43 ,0.70 ,38161 ,1119.56 ,290,0905-0176,,,Lake,
0904SHI0283,SL-2-22-19-1-4-P283,St Lawrence,Shingle Pond,,,No,No,AA,910-970,,St. Lawrence River Basin,Grass River,9,904,8.90 ,0.50 ,35849 ,853.77 ,283,0905-0175,,,Lake,4
0905STR0285,SL-25-101-24-5-P285,St Lawrence,Streeter Lake,,,No,No,CT,910-1554,,St. Lawrence River Basin,Oswegatchie River,9,905,68.25 ,1.66 ,276189 ,2677.86 ,285,0905-0174,,,Lake,10
0905SUC0274,SL-25-101-8-P274,St Lawrence,Sucker Lake,,,No,No,CT,910-1540,,St. Lawrence River Basin,Oswegatchie River,9,905,87.34 ,1.68 ,353437 ,2696.04 ,274,0905-0173,,,Lake,10
0905DOD0264,SL-25-96-1-P264,St Lawrence,Dodge Pond,,,Yes,No,C,910-1520,,St. Lawrence River Basin,Oswegatchie River,9,905,14.06 ,0.77 ,56913 ,1239.86 ,264,0905-0172,,,Lake,10
0905HAL0255,SL-25-82-3-4-P255,St Lawrence,Hall Lake,,,No,No,D,910-140,,St. Lawrence River Basin,Oswegatchie River,9,905,7.26 ,0.53 ,29386 ,855.39 ,255,0905-0171,,,Lake,10
0905SHI0257,SL-25-82-3-P256-1-P257,St Lawrence,Shingle Pond,,,No,No,D,910-1504,,St. Lawrence River Basin,Oswegatchie River,9,905,6.06 ,0.56 ,24504 ,895.17 ,257,0905-0171,,,Lake,10
0905CLE0249,SL-25-75-1A-P249,St Lawrence,Clear Lake,,,No,No,CT,910-1494,,St. Lawrence River Basin,Oswegatchie River,9,905,40.11 ,1.56 ,162327 ,2516.80 ,249,0905-0169,,,Lake,10
0905WOL0248,SL-25-P248,St Lawrence,Wolf Lake,,,No,No,C,910-1491,,St. Lawrence River Basin,Oswegatchie River,9,905,27.60 ,1.20 ,111748 ,1999.50 ,248,0905-0168,,,Lake,10
0905LON0162,SL-25-73-26-6-P161-1-P162,St Lawrence,Long Lake,,,No,No,CT,910-1407,,St. Lawrence River Basin,Oswegatchie River,9,905,33.31 ,1.42 ,134817 ,2288.14 ,162,0905-0158,,,Lake,10
0905ROU0161,SL-25-73-26-6-P161,St Lawrence,Round Lake,,,No,No, ,910-1405,,St. Lawrence River Basin,Oswegatchie River,9,905,78.40 ,2.32 ,317260 ,3741.29 ,161,0905-0158,,,Lake,
0905UWB0158,SL-25-73-26-6-4-P158,St Lawrence,Unnamed Water,,,No,No, ,910-1413,,St. Lawrence River Basin,Oswegatchie River,9,905,2.01 ,0.38 ,8120 ,603.61 ,158,0905-0157,,,Lake,
0905JEN0138,SL-25-73-19-P138,St Lawrence,Jenny Lake,,,No,No,CT,910-1342,,St. Lawrence River Basin,Oswegatchie River,9,905,21.19 ,0.97 ,85736 ,1554.18 ,138,0905-0149,,,Lake,10
0905ROC0137,SL-25-73-19-5-P137,St Lawrence,Rock Lake,,,No,No,CT,910-1373,,St. Lawrence River Basin,Oswegatchie River,9,905,19.56 ,1.04 ,79155 ,1670.25 ,137,0905-0148,,,Lake,10
0905BEA0134,SL-25-73-19-5-1-P134,St Lawrence,Bear Lake,,,No,No,CT,910-1377,,St. Lawrence River Basin,Oswegatchie River,9,905,31.63 ,1.47 ,128011 ,2366.83 ,134,0905-0147,,,Lake,10
0905TWI0132,SL-25-73-19-5-1-P132,St Lawrence,Twin Ponds,,,No,No,CT,910-1376,,St. Lawrence River Basin,Oswegatchie River,9,905,1.88 ,0.20 ,7617 ,317.01 ,132,0905-0146,,,Lake,10
0905TWW0131,SL-25-73-19-5-1-P131,St Lawrence,Twin Pond West,,,No,No,CT,910-1376,,St. Lawrence River Basin,Oswegatchie River,9,905,3.74 ,0.29 ,15139 ,473.26 ,131,0905-0146,,,Lake,10
0905LON0130,SL-25-73-19-5-1-A-P130,St Lawrence,Long Lake,,,No,No,CT,910-1374,,St. Lawrence River Basin,Oswegatchie River,9,905,23.29 ,1.20 ,94262 ,1924.70 ,130,0905-0145,,,Lake,10
0905GRE0125,SL-25-73-19-3-P125,St Lawrence,Greenwood Lake,,,No,No,CT,910-1346,,St. Lawrence River Basin,Oswegatchie River,9,905,11.01 ,0.66 ,44558 ,1057.31 ,125,0905-0144,,,Lake,10
0905MUD0124,SL-25-P124,St Lawrence,Mud Pond,,,No,No,CT,910-1368,,St. Lawrence River Basin,Oswegatchie River,9,905,4.59 ,0.34 ,18587 ,547.93 ,124,0905-0144,,,Lake,10
0905JON0123,SL-25-73-19-3-6-P123,St Lawrence,Jones Pond,,,No,No,C,910-1359,,St. Lawrence River Basin,Oswegatchie River,9,905,27.46 ,0.81 ,111121 ,1296.92 ,123,0905-0143,,,Lake,10
